Symbol,Nome,Pais,Sigla_Pais,Setor
ACIC,American Coastal Insurance Corporation,United States,US,Financial Services
ACIU,AC Immune SA,Switzerland,CH,Healthcare
ACIW,"ACI Worldwide, Inc.",United States,US,Technology
ACLS,"Axcelis Technologies, Inc.",United States,US,Technology
ACMR,"ACM Research, Inc.",United States,US,Technology
ACNB,ACNB Corporation,United States,US,Financial Services
ACNT,Ascent Industries Co.,United States,US,Basic Materials
ACOG,Alpha Cognition Inc. Common Stock,United States,US,Healthcare
ACON,"Aclarion, Inc.",United States,US,Healthcare
ACONW,"Aclarion, Inc.",United States,US,
ACRS,"Aclaris Therapeutics, Inc.",United States,US,Healthcare
ACRV,"Acrivon Therapeutics, Inc.",United States,US,Healthcare
ACT,"Enact Holdings, Inc.",United States,US,Financial Services
ACTG,Acacia Research Corporation,United States,US,Industrials
ACTU,"Actuate Therapeutics, Inc. Common stock",United States,US,Healthcare
ACWI,iShares MSCI ACWI ETF,,,
ACWX,iShares MSCI ACWI ex U.S. ETF,,,
ACXP,"Acurx Pharmaceuticals, Inc.",United States,US,Healthcare
ADAC,American Drive Acquisition Company,United States,US,Financial Services
ADACU,American Drive Acquisition Company,United States,US,Financial Services
ADACW,American Drive Acquisition Company,United States,US,
ADAG,Adagene Inc.,China,CN,Healthcare
ADAM,"Adamas Trust, Inc.",United States,US,Real Estate
ADAMG,"Adamas Trust, Inc.",United States,US,
ADAMH,"Adamas Trust, Inc.",United States,US,
ADAMI,"New York Mortgage Trust, Inc. 9.125% Senior Notes Due 2029",,,
ADAML,"Adamas Trust, Inc.",United States,US,Real Estate
ADAMM,"Adamas Trust, Inc.",United States,US,Real Estate
ADAMN,"Adamas Trust, Inc.",United States,US,Real Estate
ADAMO,"Adamas Trust, Inc. 9.250% Senior Notes Due 2031",,,
ADAMZ,"Adamas Trust, Inc.",United States,US,Real Estate
ADBE,Adobe Inc.,United States,US,Technology
ADBG,Leverage Shares 2X Long ADBE Daily ETF,,,
ADEA,Adeia Inc.,United States,US,Technology
ADGM,"Adagio Medical Holdings, Inc.",United States,US,Healthcare
ADI,"Analog Devices, Inc.",United States,US,Technology
ADIL,"Adial Pharmaceuticals, Inc.",United States,US,Healthcare
ADMA,"ADMA Biologics, Inc.",United States,US,Healthcare
ADP,"Automatic Data Processing, Inc.",United States,US,Technology
ADPT,Adaptive Biotechnologies Corporation,United States,US,Healthcare
ADSE,ADS-TEC Energy PLC,Ireland,IR,Industrials
ADSEW,ADS-TEC Energy PLC,Ireland,IR,
ADSK,"Autodesk, Inc.",United States,US,Technology
ADTN,"ADTRAN Holdings, Inc.",United States,US,Technology
ADTX,"Aditxt, Inc.",United States,US,Healthcare
ADUR,Aduro Clean Technologies Inc.,Canada,CA,Industrials
ADUS,Addus HomeCare Corporation,United States,US,Healthcare
ADV,Advantage Solutions Inc.,United States,US,Communication Services
ADVB,Advanced Biomed Inc.,United States,US,Healthcare
ADXN,Addex Therapeutics Ltd,Switzerland,CH,Healthcare
AEAQ,Activate Energy Acquisition Corp.,Cayman Islands,CA,Financial Services
AEAQU,Activate Energy Acquisition Corp.,Cayman Islands,CA,Financial Services
AEAQW,Activate Energy Acquisition Corp.,Cayman Islands,CA,
AEBI,Aebi Schmidt Holding AG,Switzerland,CH,Industrials
AEC,Anfield Energy Inc.,Canada,CA,Energy
AEHL,Antelope Enterprise Holdings Limited,China,CN,Industrials
AEHR,"Aehr Test Systems, Inc.",United States,US,Technology
AEI,Alset Inc.,United States,US,Real Estate
AEIS,"Advanced Energy Industries, Inc.",United States,US,Industrials
AEMD,"Aethlon Medical, Inc.",United States,US,Healthcare
AENT,Alliance Entertainment Holding Corporation,United States,US,Communication Services
AENTW,Alliance Entertainment Holding Corporation,United States,US,
AEP,"American Electric Power Company, Inc.",United States,US,Utilities
AERT,"Aeries Technology, Inc",Singapore,SG,Industrials
AERTW,"Aeries Technology, Inc",Singapore,SG,
AESPU,Aeon Acquisition I Corp.,United States,US,Financial Services
AEVA,"Aeva Technologies, Inc.",United States,US,Technology
AEYE,"AudioEye, Inc.",United States,US,Technology
AFBI,"Affinity Bancshares, Inc.",United States,US,Financial Services
AFCG,Advanced Flower Capital Inc.,United States,US,Financial Services
AFJK,"Aimei Health Technology Co., Ltd",United States,US,Financial Services
AFJKR,"Aimei Health Technology Co., Ltd",United States,US,
AFJKU,"Aimei Health Technology Co., Ltd",United States,US,Financial Services
AFOS,ARS Focused Opportunities Strategy ETF,,,
AFRI,Forafric Global PLC,Gibraltar,GI,Consumer Defensive
AFRIW,Forafric Global PLC,Gibraltar,GI,
AFRM,"Affirm Holdings, Inc.",United States,US,Financial Services
AFSC,abrdn Focused U.S. Small Cap Active ETF,,,
AFYA,Afya Limited,Brazil,BR,Consumer Defensive
AGCC,Agencia Comercial Spirits Ltd,Taiwan,TW,Consumer Defensive
AGEM,abrdn Emerging Markets Dividend Active ETF,,,
AGEN,Agenus Inc.,United States,US,Healthcare
AGGA,Astoria Dynamic Core US Fixed Income ETF,,,
AGIO,"Agios Pharmaceuticals, Inc.",United States,US,Healthcare
AGIX,KraneShares Artificial Intelligence and Technology Public and Private ETF,,,
AGMB,AgomAb Therapeutics NV,Belgium,BE,Healthcare
AGMH,AGM Group Holdings Inc.,Hong Kong,HK,Technology
AGMI,Themes Silver Miners ETF,,,
AGNC,AGNC Investment Corp.,United States,US,Real Estate
AGNCL,AGNC Investment Corp.,United States,US,Real Estate
AGNCM,AGNC Investment Corp.,United States,US,Real Estate
AGNCN,AGNC Investment Corp.,United States,US,Real Estate
AGNCO,AGNC Investment Corp.,United States,US,Real Estate
AGNCP,AGNC Investment Corp.,United States,US,Real Estate
AGNCZ,AGNC Investment Corp.,United States,US,Real Estate
AGNG,Global X Aging Population ETF,,,
AGNT,"AGNT, Inc",United States,US,Real Estate
AGPU,Axe Compute Inc.,United States,US,Technology
AGRZ,Agroz Inc.,Malaysia,MA,Consumer Defensive
AGYS,"Agilysys, Inc.",United States,US,Technology
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,,,
AHCO,AdaptHealth Corp.,United States,US,Healthcare
AHD,Graniteshares Autocallable Hood ETF,,,
AHG,Akso Health Group,China,CN,Healthcare
AHMA,Ambitions Enterprise Management Co. L.L.C,United Arab Emirates,UN,Consumer Cyclical
AIA,iShares Asia 50 ETF,,,
AIAI,AIAI Holdings Corporation,United States,US,Industrials
AIDX,"20/20 Biolabs, Inc.",United States,US,Healthcare
AIFA,All In FutureTech Alliance Inc.,United States,US,Technology
AIFC,AI Financial Corporation,United States,US,Technology
AIFD,TCW Artificial Intelligence ETF,,,
AIFF,"Firefly Neuroscience, Inc.",United States,US,Technology
AIFU,AIFU Inc.,China,CN,Financial Services
AIHS,Senmiao Technology Limited,China,CN,Industrials
AIIO,Robo.ai Inc.,United Arab Emirates,UN,Consumer Cyclical
AIIOW,Robo.ai Inc.,United Arab Emirates,UN,
AIIR,AIR Global PLC,United Arab Emirates,UN,Consumer Defensive
AIMD,"Ainos, Inc.",United States,US,Technology
AIMDW,"Ainos, Inc.",United States,US,
AIMS,Acuitas Small Cap Active ETF,,,
AIOS,AIOS Tech Inc.,Hong Kong,HK,Technology
AIOT,"PowerFleet, Inc.",United States,US,Technology
AIP,"Arteris, Inc.",United States,US,Technology
AIPI,REX AI Equity Premium Income ETF,,,
AIPO,Defiance AI & Power Infrastructure ETF,,,
AIQ,Global X Artificial Intelligence & Technology ETF,,,
AIRE,reAlpha Tech Corp.,United States,US,Real Estate
AIRG,"Airgain, Inc.",United States,US,Technology
AIRJ,AirJoule Technologies Corporation,United States,US,Industrials
AIRJW,AirJoule Technologies Corporation,United States,US,
AIRO,"AIRO Group Holdings, Inc.",United States,US,Industrials
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,,,
AIRS,"AirSculpt Technologies, Inc.",United States,US,Healthcare
AIRT,"Air T, Inc.",United States,US,Industrials
AIRTP,"Air T, Inc.",United States,US,Industrials
AISP,"Airship AI Holdings, Inc.",United States,US,Technology
AISPW,"Airship AI Holdings, Inc.",United States,US,
AIXC,"AIxCrypto Holdings, Inc.",United States,US,Technology
AIXI,Xiao-I Corporation,China,CN,Technology
AKAM,"Akamai Technologies, Inc.",United States,US,Technology
AKAN,Akanda Corp.,Canada,CA,Healthcare
AKBA,"Akebia Therapeutics, Inc.",United States,US,Healthcare
AKTS,"Aktis Oncology, Inc.",United States,US,Healthcare
AKTX,"Akari Therapeutics, Plc",United States,US,Healthcare
ALAB,"Astera Labs, Inc.",United States,US,Technology
ALAR,Alarum Technologies Ltd.,Israel,IS,Technology
ALBG,Leverage Shares 2X Long ALB Daily ETF,,,
ALBT,Avalon GloboCare Corp.,United States,US,Real Estate
ALCO,"Alico, Inc.",United States,US,Consumer Defensive
ALDF,Aldel Financial II Inc.,United States,US,Financial Services
ALDFU,Aldel Financial II Inc.,United States,US,Financial Services
ALDFW,Aldel Financial II Inc.,United States,US,
ALDX,"Aldeyra Therapeutics, Inc.",United States,US,Healthcare
ALEC,"Alector, Inc.",United States,US,Healthcare
ALF,Centurion Acquisition Corp.,United States,US,Financial Services
ALFUU,Centurion Acquisition Corp.,United States,US,Financial Services
ALFUW,Centurion Acquisition Corp.,United States,US,
ALGM,"Allegro MicroSystems, Inc.",United States,US,Technology
ALGN,"Align Technology, Inc.",United States,US,Healthcare
ALGS,"Aligos Therapeutics, Inc.",United States,US,Healthcare
ALGT,Allegiant Travel Company,United States,US,Industrials
ALHC,"Alignment Healthcare, Inc.",United States,US,Healthcare
ALIL,Argent Focused Small Cap ETF,,,
ALIS,Calisa Acquisition Corp,United States,US,Financial Services
ALISR,Calisa Acquisition Corp,United States,US,
ALISU,Calisa Acquisition Corp,United States,US,Financial Services
ALKS,Alkermes plc,Ireland,IR,Healthcare
ALKT,"Alkami Technology, Inc.",United States,US,Technology
ALLO,"Allogene Therapeutics, Inc.",United States,US,Healthcare
ALLR,"Allarity Therapeutics, Inc.",United States,US,Healthcare
ALLT,Allot Ltd.,Israel,IS,Technology
ALLW,State Street Bridgewater All Weather ETF,,,
ALM,Almonty Industries Inc.,United States,US,Basic Materials
ALMR,"Alamar Biosciences, Inc.",United States,US,Healthcare
ALMS,Alumis Inc.,United States,US,Healthcare
ALMU,"Aeluma, Inc.",United States,US,Technology
ALNT,Allient Inc.,United States,US,Technology
ALNY,"Alnylam Pharmaceuticals, Inc.",United States,US,Healthcare
ALOT,"AstroNova, Inc.",United States,US,Technology
ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc.",United States,US,Financial Services
ALOVU,"Aldabra 4 Liquidity Opportunity Vehicle, Inc.",United States,US,Financial Services
ALOVW,"Aldabra 4 Liquidity Opportunity Vehicle, Inc.",United States,US,
ALOY,REalloys Inc.,United States,US,Basic Materials
ALP,Alpha Compute Corp,United States,US,Financial Services
ALPS,Alps Group Inc,,,
ALRM,"Alarm.com Holdings, Inc.",United States,US,Technology
ALRS,Alerus Financial Corporation,United States,US,Financial Services
ALT,"Altimmune, Inc.",United States,US,Healthcare
ALTI,"AlTi Global, Inc.",United States,US,Financial Services
ALTO,"Alto Ingredients, Inc.",United States,US,Basic Materials
ALTY,Global X Alternative Income ETF,,,
ALVO,Alvotech,Luxembourg,LU,Healthcare
ALVOW,Alvotech,Luxembourg,LU,
ALXO,ALX Oncology Holdings Inc.,United States,US,Healthcare
ALZN,"Alzamend Neuro, Inc.",United States,US,Healthcare
AMA,Defiance Daily Target 2X Long AMAT ETF,,,
AMAL,Amalgamated Financial Corp.,United States,US,Financial Services
AMAN,Amanat Acquisition Corp,United States,US,Financial Services
AMAT,"Applied Materials, Inc.",United States,US,Technology
AMBA,"Ambarella, Inc.",United States,US,Technology
AMBR,Amber International Holding Limited,Singapore,SG,Technology
AMCI,AMC Robotics Corporation,United States,US,Technology
AMCX,AMC Global Media Inc.,United States,US,Communication Services
AMD,"Advanced Micro Devices, Inc.",United States,US,Technology
AMDD,Direxion Daily AMD Bear 1X Shares,,,
AMDG,Leverage Shares 2X Long AMD Daily ETF,,,
AMDL,GraniteShares 2x Long AMD Daily ETF,,,
AMGN,Amgen Inc.,United States,US,Healthcare
AMID,Argent Mid Cap ETF,,,
AMIX,"Autonomix Medical, Inc.",United States,US,Healthcare
AMKR,"Amkor Technology, Inc.",United States,US,Technology
AMLX,"Amylyx Pharmaceuticals, Inc.",United States,US,Healthcare
AMOD,"Alpha Modus Holdings, Inc.",United States,US,Technology
AMODW,"Alpha Modus Holdings, Inc.",United States,US,
AMPG,"AmpliTech Group, Inc.",United States,US,Technology
AMPGR,"AmpliTech Group, Inc.",United States,US,
AMPGZ,"AmpliTech Group, Inc.",United States,US,
AMPH,"Amphastar Pharmaceuticals, Inc.",United States,US,Healthcare
AMPL,"Amplitude, Inc.",United States,US,Technology
AMRN,Amarin Corporation plc,Ireland,IR,Healthcare
AMRX,"Amneal Pharmaceuticals, Inc.",United States,US,Healthcare
AMSC,American Superconductor Corporation,United States,US,Industrials
AMSF,"AMERISAFE, Inc.",United States,US,Financial Services
AMSS,"AMASS Brands, Inc.",United States,US,Consumer Defensive
AMST,Amesite Inc.,United States,US,Technology
AMTX,"Aemetis, Inc.",United States,US,Basic Materials
AMUN,abrdn Ultra Short Municipal Income Active ETF,,,
AMUU,Direxion Daily AMD Bull 2X Shares,,,
AMYY,Graniteshares YieldBOOST AMD ETF,,,
AMZD,Direxion Daily AMZN Bear 1X Shares,,,
AMZN,"Amazon.com, Inc.",United States,US,Consumer Cyclical
AMZU,Direxion Daily AMZN Bull 2X Shares,,,
AMZZ,GraniteShares 2x Long AMZN Daily ETF,,,
ANAB,"AnaptysBio, Inc.",United States,US,Healthcare
ANDE,"The Andersons, Inc.",United States,US,Consumer Defensive
ANEL,Defiance Daily Target 2X Long ANET ETF,,,
ANGH,Anghami Inc.,United Arab Emirates,UN,Communication Services
ANGHW,Anghami Inc.,United Arab Emirates,UN,
ANGI,Angi Inc.,United States,US,Communication Services
ANGL,VanEck Fallen Angel High Yield Bond ETF,,,
ANGO,"AngioDynamics, Inc.",United States,US,Healthcare
ANIK,"Anika Therapeutics, Inc.",United States,US,Healthcare
ANIP,"ANI Pharmaceuticals, Inc.",United States,US,Healthcare
ANIX,"Anixa Biosciences, Inc.",United States,US,Healthcare
ANL,Adlai Nortye Ltd.,United States,US,Healthcare
ANNA,"AleAnna, Inc.",United States,US,Energy
ANNAW,"AleAnna, Inc.",United States,US,
ANNX,"Annexon, Inc.",United States,US,Healthcare
ANPA,Rich Sparkle Holdings Limited,Hong Kong,HK,Industrials
ANSC,Agriculture & Natural Solutions Acquisition Corporation,United States,US,Financial Services
ANSCU,Agriculture & Natural Solutions Acquisition Corporation,United States,US,Financial Services
ANSCW,Agriculture & Natural Solutions Acquisition Corporation,United States,US,
ANTA,Antalpha Platform Holding Compa,Singapore,SG,Financial Services
ANTX,"AN2 Therapeutics, Inc.",United States,US,Healthcare
ANV,Graniteshares Autocallable Nvda ETF,,,
ANY,Sphere 3D Corp.,United States,US,Financial Services
AOHY,Angel Oak High Yield Opportunities ETF,,,
AOSL,Alpha and Omega Semiconductor Limited,United States,US,Technology
AOTG,AOT Growth and Innovation ETF,,,
AOUT,"American Outdoor Brands, Inc.",United States,US,Consumer Cyclical
APA,APA Corporation,United States,US,Energy
APAC,StoneBridge Acquisition II Corporation,United States,US,Financial Services
APACR,StoneBridge Acquisition II Corporation,United States,US,
APACU,StoneBridge Acquisition II Corporation,United States,US,Financial Services
APC,ARKO Petroleum Corp.,United States,US,Energy
APEI,"American Public Education, Inc.",United States,US,Consumer Defensive
APGE,"Apogee Therapeutics, Inc.",United States,US,Healthcare
API,"Agora, Inc.",United States,US,Technology
APLD,Applied Digital Corporation,United States,US,Technology
APLM,"Apollomics, Inc.",United States,US,Healthcare
APLMW,"Apollomics, Inc.",,,
APM,Aptorum Group Limited,United Kingdom,UK,Healthcare
APMCU,AmperCap Acquisition Company,United States,US,Financial Services
APOG,"Apogee Enterprises, Inc.",United States,US,Industrials
APP,AppLovin Corporation,United States,US,Communication Services
APPF,"AppFolio, Inc.",United States,US,Technology
APPN,Appian Corporation,United States,US,Technology
APPS,"Digital Turbine, Inc.",United States,US,Technology
APPX,Tradr 2X Long APP Daily ETF,,,
APRE,"Aprea Therapeutics, Inc.",United States,US,Healthcare
APURU,Aperture AC,United States,US,Financial Services
APVO,Aptevo Therapeutics Inc.,United States,US,Healthcare
APWC,Asia Pacific Wire & Cable Corporation Limited,Taiwan,TW,Industrials
APXT,Apex Treasury Corporation,United States,US,Financial Services
APXTU,Apex Treasury Corporation,United States,US,Financial Services
APXTW,Apex Treasury Corporation,United States,US,
APYX,Apyx Medical Corporation,United States,US,Healthcare
AQB,"AquaBounty Technologies, Inc.",United States,US,Consumer Defensive
AQMS,"Aqua Metals, Inc.",United States,US,Industrials
AQST,"Aquestive Therapeutics, Inc.",United States,US,Healthcare
AQWA,Global X Clean Water ETF,,,
ARAI,Arrive AI Inc.,United States,US,Technology
ARAY,Accuray Incorporated,United States,US,Healthcare
ARBB,ARB IOT Group Limited,Singapore,SG,Technology
ARBE,Arbe Robotics Ltd.,Israel,IS,Technology
ARBEW,Arbe Robotics Ltd.,Israel,IS,
ARBK,Argo Blockchain plc,United Kingdom,UK,Financial Services
ARCB,ArcBest Corporation,United States,US,Industrials
ARCC,Ares Capital Corporation,United States,US,Financial Services
ARCI,Archimedes Tech SPAC Partners III Co.,United States,US,Financial Services
ARCIU,Archimedes Tech SPAC Partners III Co.,United States,US,Financial Services
ARCIW,Archimedes Tech SPAC Partners III Co.,United States,US,
ARCL,ARC Group Acquisition I Corp,United States,US,Financial Services
ARCLR,ARC Group Acquisition I Corp,United States,US,
ARCLU,ARC Group Acquisition I Corp,United States,US,Financial Services
ARCLW,ARC Group Acquisition I Corp,United States,US,
ARCT,Arcturus Therapeutics Holdings Inc.,United States,US,Healthcare
ARDX,"Ardelyx, Inc.",United States,US,Healthcare
AREC,American Resources Corporation,United States,US,Basic Materials
ARGX,argenx SE,Netherlands,NL,Healthcare
ARHS,"Arhaus, Inc.",United States,US,Consumer Cyclical
ARKO,Arko Corp.,United States,US,Consumer Cyclical
ARKR,Ark Restaurants Corp.,United States,US,Consumer Cyclical
ARLP,"Alliance Resource Partners, L.P.",United States,US,Energy
ARM,Arm Holdings plc,United Kingdom,UK,Technology
ARMG,Leverage Shares 2X Long ARM Daily ETF,,,
ARMY,Tema International Defense Innovation ETF,,,
AROW,Arrow Financial Corporation,United States,US,Financial Services
ARQ,"Arq, Inc.",United States,US,Industrials
ARQQ,Arqit Quantum Inc.,United Kingdom,UK,Technology
ARQQW,Arqit Quantum Inc.,United Kingdom,UK,
ARQT,"Arcutis Biotherapeutics, Inc.",United States,US,Healthcare
ARRY,"Array Technologies, Inc.",United States,US,Technology
ARTC,Art Technology Acquisition Corp.,United States,US,
ARTCU,Art Technology Acquisition Corp.,United States,US,Financial Services
ARTCW,Art Technology Acquisition Corp.,United States,US,
ARTL,"Artelo Biosciences, Inc.",United States,US,Healthcare
ARTNA,Artesian Resources Corporation,United States,US,Utilities
ARTV,"Artiva Biotherapeutics, Inc.",United States,US,Healthcare
ARTW,"Art's-Way Manufacturing Co., Inc.",United States,US,Industrials
ARVN,"Arvinas, Inc.",United States,US,Healthcare
ARVR,First Trust Indxx Metaverse ETF,,,
ARWR,"Arrowhead Pharmaceuticals, Inc.",United States,US,Healthcare
ARXS,"Arxis, Inc.",United States,US,Industrials
ASBP,"Aspire Biopharma Holdings, Inc.",United States,US,Healthcare
ASBPW,"Aspire Biopharma Holdings, Inc.",United States,US,
ASCI,abrdn International Small Cap Active ETF,,,
ASD,Defiance Autism Impact ETF,,,
ASEC,American Century Securitized Credit ETF,,,
ASLE,AerSale Corporation,United States,US,Industrials
ASMB,"Assembly Biosciences, Inc.",United States,US,Healthcare
ASMG,Leverage Shares 2X Long ASML Daily ETF,,,
ASML,ASML Holding N.V.,Netherlands,NL,Technology
ASMU,Direxion Daily ASML Bull 2X ETF,,,
ASND,Ascendis Pharma A/S,Denmark,DE,Healthcare
ASO,"Academy Sports and Outdoors, Inc.",United States,US,Consumer Cyclical
ASPC,A SPAC III Acquisition Corp.,Hong Kong,HK,Financial Services
ASPCR,A SPAC III Acquisition Corp.,Hong Kong,HK,
ASPCU,A SPAC III Acquisition Corp.,Hong Kong,HK,Financial Services
ASPI,ASP Isotopes Inc.,United States,US,Basic Materials
ASPS,Altisource Portfolio Solutions S.A.,Luxembourg,LU,Real Estate
ASPSW,Altisource Portfolio Solutions S.A.,Luxembourg,LU,
ASPSZ,Altisource Portfolio Solutions S.A.,Luxembourg,LU,
ASRT,"Assertio Holdings, Inc.",United States,US,Healthcare
ASRV,"AmeriServ Financial, Inc.",United States,US,Financial Services
ASST,"Strive, Inc.",United States,US,Financial Services
ASTC,Astrotech Corporation,United States,US,Technology
ASTE,"Astec Industries, Inc.",United States,US,Industrials
ASTH,"Astrana Health, Inc.",United States,US,Healthcare
ASTI,"Ascent Solar Technologies, Inc.",United States,US,Technology
ASTL,Algoma Steel Group Inc.,Canada,CA,Basic Materials
ASTLW,Algoma Steel Group Inc.,Canada,CA,
ASTS,"AST SpaceMobile, Inc.",United States,US,Technology
ASUR,"Asure Software, Inc.",United States,US,Technology
ASYS,"Amtech Systems, Inc.",United States,US,Technology
ATAI,AtaiBeckley Inc.,United States,US,Healthcare
ATAT,Atour Lifestyle Holdings Limited,China,CN,Consumer Cyclical
ATC,Graniteshares Autocallable Coin ETF,,,
ATCX,Atlas Critical Minerals Corporation,,,
ATEC,"Alphatec Holdings, Inc.",United States,US,Healthcare
ATER,"Aterian, Inc.",United States,US,Consumer Cyclical
ATEX,Anterix Inc.,United States,US,Communication Services
ATGL,Alpha Technology Group Limited,Hong Kong,HK,Technology
ATHE,Alterity Therapeutics Limited,Australia,AU,Healthcare
ATHR,"Aether Holdings, Inc.",United States,US,Technology
ATII,Archimedes Tech SPAC Partners II Co.,United States,US,Financial Services
ATIIU,Archimedes Tech SPAC Partners II Co.,United States,US,Financial Services
ATIIW,Archimedes Tech SPAC Partners II Co.,United States,US,
ATLC,Atlanticus Holdings Corporation,United States,US,Financial Services
ATLCL,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026,,,
ATLCP,Atlanticus Holdings Corporation,United States,US,Financial Services
ATLCZ,Atlanticus Holdings Corporation 9.25% Senior Notes due 2029,,,
ATLN,Atlantic International Corp.,United States,US,Industrials
ATLO,Ames National Corporation,United States,US,Financial Services
ATLX,Atlas Lithium Corporation,Brazil,BR,Basic Materials
ATNI,"ATN International, Inc.",United States,US,Communication Services
ATOM,Atomera Incorporated,United States,US,Technology
ATOS,"Atossa Therapeutics, Inc.",United States,US,Healthcare
ATPC,Agape ATP Corporation,Malaysia,MA,Consumer Defensive
ATRA,"Atara Biotherapeutics, Inc.",United States,US,Healthcare
ATRC,"AtriCure, Inc.",United States,US,Healthcare
ATRO,Astronics Corporation,United States,US,Industrials
ATXG,Addentax Group Corp.,China,CN,Industrials
ATYR,"aTyr Pharma, Inc.",United States,US,Healthcare
AUBN,"Auburn National Bancorporation, Inc.",United States,US,Financial Services
AUC,ATIF Holdings Limited,United States,US,Financial Services
AUDC,AudioCodes Ltd.,Israel,IS,Technology
AUGO,Aura Minerals Inc.,United States,US,Basic Materials
AUID,authID Inc.,United States,US,Technology
AUMI,Themes Gold Miners ETF,,,
AUPH,Aurinia Pharmaceuticals Inc.,Canada,CA,Healthcare
AUR,"Aurora Innovation, Inc.",United States,US,Consumer Cyclical
AURA,"Aura Biosciences, Inc.",United States,US,Healthcare
AURE,Aurelion Inc.,Hong Kong,HK,Financial Services
AUROW,"Aurora Innovation, Inc.",United States,US,
AUTL,Autolus Therapeutics plc,United Kingdom,UK,Healthcare
AUUD,Auddia Inc.,United States,US,Technology
AVAH,Aveanna Healthcare Holdings Inc.,United States,US,Healthcare
